I_DATA_SET1,SOURCE_RES,SOURCE_PSCHEMA,SOURCE_LSCHEMA,SOURCE_TABLE1,SOURCE_TABLE2,SOURCE_TAB,TARGET_PSCHEMA,TARGET_LSCHEMA,TARGET_TABLE1,TARGET_TABLE2,TARGET_TAB,TARGET_RES,I_DATA_SET2
3156002,OGG,T24_REP.T24REP,T24_REP,CBX_OD_ACCOUNT_MASTER_EXT,T24_REP.T24REP.CBX_OD_ACCOUNT_MASTER_EXT,T24_REP.CBX_OD_ACCOUNT_MASTER_EXT,IGTS.TCBMIGSTG,iGTS_TCBMIGSTG,OD_ACCOUNT_MASTER_EXT,IGTS.TCBMIGSTG.OD_ACCOUNT_MASTER_EXT,iGTS_TCBMIGSTG.OD_ACCOUNT_MASTER_EXT,OGG,3156002
2997002,OGG,iGTS_DWH.DWH_STAGING,iGTS_DWH_STAGING,TBL_TB_CUSTOMER_TSD,iGTS_DWH.DWH_STAGING.TBL_TB_CUSTOMER_TSD,iGTS_DWH_STAGING.TBL_TB_CUSTOMER_TSD,T24_REP.T24REP,T24_REP,CIM_CUST_BILL_DETAILS_REP,T24_REP.T24REP.CIM_CUST_BILL_DETAILS_REP,T24_REP.CIM_CUST_BILL_DETAILS_REP,OGG,2997002
3514002,OGG,EDW_SOR.EDW_ADM,EDW_ADM,TBL_BPM_BANK_ID,EDW_SOR.EDW_ADM.TBL_BPM_BANK_ID,EDW_ADM.TBL_BPM_BANK_ID,BPM_SOR_REF.BPM_SOR_REF,BPM_SOR_REF,MA_BANK_ID,BPM_SOR_REF.BPM_SOR_REF.MA_BANK_ID,BPM_SOR_REF.MA_BANK_ID,OGG,3514002
252170001,DWH,EDW_SOR.DWH,EDW_DWH,T24M_8035_MV1,EDW_SOR.DWH.T24M_8035_MV1,EDW_DWH.T24M_8035_MV1,EDW_SOR.EDW_SOR,EDW_SOR,RI,EDW_SOR.EDW_SOR.RI,EDW_SOR.RI,DWH,252170001
252162001,DWH,EDW_SOR.DWH_STAGING,EDW_DWH_STG,T_LC_TYPES,EDW_SOR.DWH_STAGING.T_LC_TYPES,EDW_DWH_STG.T_LC_TYPES,EDW_SOR.EDW_STG,EDW_SOR_STG,T_LC,EDW_SOR.EDW_STG.T_LC,EDW_SOR_STG.T_LC,DWH,252162001
252014001,DWH,,PIPELINE_SRC_DWH_STAGING,I$_GSM_CUSTOMER_TSD,.I$_GSM_CUSTOMER_TSD,PIPELINE_SRC_DWH_STAGING.I$_GSM_CUSTOMER_TSD,,PIPELINE_EDW_STG,T_PIPE_GSM_CST,.T_PIPE_GSM_CST,PIPELINE_EDW_STG.T_PIPE_GSM_CST,DWH,252014001
251505001,DWH,EDW_SOR.DWH,EDW_DWH,KDR_PAPERS,EDW_SOR.DWH.KDR_PAPERS,EDW_DWH.KDR_PAPERS,EDW_SOR.EDW_STG,EDW_SOR_STG,T_KDR_ACCOUNTING_SEC_GL,EDW_SOR.EDW_STG.T_KDR_ACCOUNTING_SEC_GL,EDW_SOR_STG.T_KDR_ACCOUNTING_SEC_GL,DWH,251505001
252474001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,OU,EDW_SOR.EDW_SOR.OU,EDW_SOR.OU,EDW_SOR.EDW_STG,EDW_SOR_STG,T_DMT_CST_ANL,EDW_SOR.EDW_STG.T_DMT_CST_ANL,EDW_SOR_STG.T_DMT_CST_ANL,DWH,252474001
254060001,DWH,EDW_SOR.DWH,EDW_DWH,PD_PAYMENT_DUE,EDW_SOR.DWH.PD_PAYMENT_DUE,EDW_DWH.PD_PAYMENT_DUE,EDW_SOR.EDW_SOR,EDW_SOR,AR_AVY_SHD_ITM,EDW_SOR.EDW_SOR.AR_AVY_SHD_ITM,EDW_SOR.AR_AVY_SHD_ITM,DWH,254060001
256435001,DWH,EDW_SOR.DWH,EDW_DWH,KDR_BODEAL,EDW_SOR.DWH.KDR_BODEAL,EDW_DWH.KDR_BODEAL,EDW_SOR.EDW_STG,EDW_SOR_STG,T_KDR_FXSWAPDEALS,EDW_SOR.EDW_STG.T_KDR_FXSWAPDEALS,EDW_SOR_STG.T_KDR_FXSWAPDEALS,DWH,256435001
