target,source,ID
EDW_SOR.AR,EDW_SOR_STG.T_KDR_ACCT_SMY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_CMS_CARD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_PD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_AR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_CONTRACTPARAMETERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_ACCT_CLS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_KDR_SETTLEMENTLIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.KDR_REPODEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_CCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_CARDCNS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_KDR_DEALS_STATUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_KDR_IAMDEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_CONTRACTSTATEHISTORY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH.CMS_UP_1_CONTRACT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_CLTR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_DWH_STG.I$_MBB_CUSTOMERS_IDEN_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_SOR_STG.T_CUS_UP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_SOR_STG.T_KDR_CPTY_T24_CUST_FOLDER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_SOR_STG.T_CUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_ADM.TBL_PLN_CIC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_SOR_STG.T_RM_SALE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_GRP,EDW_SOR_STG.T_KDR_CPTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_SOR_STG.TMP_LOS_MAINAPP_IP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_DWH_STG.T_PORTFOLIO_PBC_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_DWH.CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_SOR_STG.T_USRTBL_UP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_SOR_STG.T_CUS_UP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP_X_IP,EDW_SOR_STG.T_LOS_MAINAPPLICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
